passenger_id	survived	passenger_class	sex	age	sibling_count	parent_count	fare	cabin	embarked	age_group
1	0	3	male	22	1	0	7.25		S	16-30
2	1	1	female	38	1	0	71.2833	C85	C	31-45
3	1	3	female	26	0	0	7.925		S	16-30
4	1	1	female	35	1	0	53.1	C123	S	31-45
5	0	3	male	35	0	0	8.05		S	31-45
6	0	3	male	-1	0	0	8.4583		Q	NaN
7	0	1	male	54	0	0	51.8625	E46	S	46-60
8	0	3	male	2	3	1	21.075		S	0-15
9	1	3	female	27	0	2	11.1333		S	16-30
10	1	2	female	14	1	0	30.0708		C	0-15
11	1	3	female	4	1	1	16.7	G6	S	0-15
12	1	1	female	58	0	0	26.55	C103	S	46-60
13	0	3	male	20	0	0	8.05		S	16-30
14	0	3	male	39	1	5	31.275		S	31-45
15	0	3	female	14	0	0	7.8542		S	0-15
16	1	2	female	55	0	0	16		S	46-60
17	0	3	male	2	4	1	29.125		Q	0-15
18	1	2	male	-1	0	0	13		S	NaN
19	0	3	female	31	1	0	18		S	31-45
20	1	3	female	-1	0	0	7.225		C	NaN
21	0	2	male	35	0	0	26		S	31-45
22	1	2	male	34	0	0	13	D56	S	31-45
23	1	3	female	15	0	0	8.0292		Q	0-15
24	1	1	male	28	0	0	35.5	A6	S	16-30
25	0	3	female	8	3	1	21.075		S	0-15
26	1	3	female	38	1	5	31.3875		S	31-45
27	0	3	male	-1	0	0	7.225		C	NaN
28	0	1	male	19	3	2	263	C23 C25 C27	S	16-30
29	1	3	female	-1	0	0	7.8792		Q	NaN
30	0	3	male	-1	0	0	7.8958		S	NaN
31	0	1	male	40	0	0	27.7208		C	31-45
32	1	1	female	-1	1	0	146.5208	B78	C	NaN
33	1	3	female	-1	0	0	7.75		Q	NaN
34	0	2	male	66	0	0	10.5		S	60+
35	0	1	male	28	1	0	82.1708		C	16-30
36	0	1	male	42	1	0	52		S	31-45
37	1	3	male	-1	0	0	7.2292		C	NaN
38	0	3	male	21	0	0	8.05		S	16-30
39	0	3	female	18	2	0	18		S	16-30
40	1	3	female	14	1	0	11.2417		C	0-15
41	0	3	female	40	1	0	9.475		S	31-45
42	0	2	female	27	1	0	21		S	16-30
43	0	3	male	-1	0	0	7.8958		C	NaN
44	1	2	female	3	1	2	41.5792		C	0-15
45	1	3	female	19	0	0	7.8792		Q	16-30
46	0	3	male	-1	0	0	8.05		S	NaN
47	0	3	male	-1	1	0	15.5		Q	NaN
48	1	3	female	-1	0	0	7.75		Q	NaN
49	0	3	male	-1	2	0	21.6792		C	NaN
50	0	3	female	18	1	0	17.8		S	16-30
51	0	3	male	7	4	1	39.6875		S	0-15
52	0	3	male	21	0	0	7.8		S	16-30
53	1	1	female	49	1	0	76.7292	D33	C	46-60
54	1	2	female	29	1	0	26		S	16-30
55	0	1	male	65	0	1	61.9792	B30	C	60+
56	1	1	male	-1	0	0	35.5	C52	S	NaN
57	1	2	female	21	0	0	10.5		S	16-30
58	0	3	male	28.5	0	0	7.2292		C	16-30
59	1	2	female	5	1	2	27.75		S	0-15
60	0	3	male	11	5	2	46.9		S	0-15
61	0	3	male	22	0	0	7.2292		C	16-30
62	1	1	female	38	0	0	80	B28		31-45
63	0	1	male	45	1	0	83.475	C83	S	31-45
64	0	3	male	4	3	2	27.9		S	0-15
65	0	1	male	-1	0	0	27.7208		C	NaN
66	1	3	male	-1	1	1	15.2458		C	NaN
67	1	2	female	29	0	0	10.5	F33	S	16-30
68	0	3	male	19	0	0	8.1583		S	16-30
69	1	3	female	17	4	2	7.925		S	16-30
70	0	3	male	26	2	0	8.6625		S	16-30
71	0	2	male	32	0	0	10.5		S	31-45
72	0	3	female	16	5	2	46.9		S	16-30
73	0	2	male	21	0	0	73.5		S	16-30
74	0	3	male	26	1	0	14.4542		C	16-30
75	1	3	male	32	0	0	56.4958		S	31-45
76	0	3	male	25	0	0	7.65	F G73	S	16-30
77	0	3	male	-1	0	0	7.8958		S	NaN
78	0	3	male	-1	0	0	8.05		S	NaN
79	1	2	male	0.83	0	2	29		S	0-15
80	1	3	female	30	0	0	12.475		S	16-30
81	0	3	male	22	0	0	9		S	16-30
